Instagram,Youtube,Twitter
6475,1120,19674
9727,1124,122621
28197,1839,520671
31598,2117,520673
33682,3845,567940
35387,4264,608392
35394,4451,4176545
35398,4812,3866
35409,4938,11587
35516,5678,19751
36019,11326,19750
36113,15471,23425
36793,19632,28821
36801,21387,29116
36832,22103,52273
36848,22236,70601
36863,23175,82189
36985,24046,127103
40456,25215,221733
41260,26267,230866
41834,28897,335793
47654,30586,409381
50304,30675,443542
53503,31894,464070
57662,32114,513527
60214,32121,544700
63334,34100,575966
64960,37372,591566
64966,37457,3588791
70568,38722,4233175
70715,38902,5075297
79778,41491,5082931
87147,41968,5084769
88579,42070,5170942
89228,42922,5171347
94476,44392,5172282
100682,44792,5381898
134325,47043,6381007
134328,47056,6418123
139403,47804,6499040
152218,48981,6504123
152553,48985,6528193
152560,48997,7146179
152886,49015,7181794
165628,51053,7191432
168249,51056,7227693
169908,51543,7245221
174714,52713,7262672
174717,53970,7264173
177675,54529,7264219
188400,54968,7338926
217958,57244,7383980
222581,58879,7383993
225956,59994,7383995
229960,61384,7384071
230100,64131,7384109
230171,66372,7402417
237187,67367,7405955
237868,67652,7406068
239765,68568,7409174
246229,69097,7456720
248223,69178,7456726
265018,69443,7458699
265635,70408,7458728
279666,70940,8782202
280854,72188,8852859
284379,72214,8898211
284411,72257,8955799
314912,72281,8955804
319708,73426,9016666
321331,73659,9061901
322215,77903,9091309
334206,78364,9196911
334632,78777,9246583
335047,80160,9246730
343890,80204,9298101
357056,81796,9298384
359376,82191,17290915
359783,82265,17290909
359987,82601,17290916
364712,87563,19
378562,89019,9092
393826,89899,9167
394444,90616,9173
394639,90621,9174
398781,92374,9256
399629,92388,10220
401288,92568,11504
401401,93488,11503
404834,94040,11506
414947,94427,11576
415212,94491,11581
417413,96634,11584
419832,97248,11593
421452,98064,11668
422003,99206,11672
423377,100788,11674
424204,100929,19599
424610,101998,21366
424618,102056,23271
